filename	Score	nwords	av_freq	mattr	pos_prop	neg_prop
file01204.txt	8	1386	6.980226388	0.751682872	0.051948052	0.011544012
file00668.txt	4	920	6.850687364	0.681377727	0.042391304	0.013043478
file01210.txt	7	910	7.20563928	0.674123113	0.031868132	0.006593407
file00126.txt	6	1132	6.713134009	0.733481071	0.035335689	0.011484099
file01238.txt	9	1561	7.172804117	0.704656085	0.044843049	0.01793722
file00898.txt	4	739	6.799687939	0.656463768	0.036535859	0.0135318
file00640.txt	7	1375	7.079772038	0.670995475	0.050909091	0.012363636
file00654.txt	7	1328	6.977417128	0.700484754	0.041415663	0.018072289
file00132.txt	5	1119	7.145851774	0.668130841	0.036639857	0.016979446
file00655.txt	4	830	7.30384127	0.630729834	0.025301205	0.004819277
file00133.txt	5	851	6.849395342	0.72765586	0.055229142	0.029377203
file01239.txt	9	1788	6.937954696	0.748096607	0.076621924	0.011744966
file00127.txt	8	1291	7.075705246	0.694621578	0.017041053	0.015491867
file00641.txt	7	1402	7.302192713	0.706459719	0.022824536	0.014978602
file00899.txt	4	877	6.832880468	0.672657005	0.055872292	0.010262258
file00669.txt	5	634	6.914712219	0.746324786	0.042586751	0.004731861
file01211.txt	9	1118	7.205295655	0.6997942	0.048300537	0.008944544
file01205.txt	9	1388	7.059631283	0.697729649	0.061959654	0.013688761
file00696.txt	5	607	6.883299856	0.737526882	0.024711697	0.016474465
file00682.txt	5	1037	6.957471589	0.643744939	0.055930569	0.007714561
file00872.txt	5	856	7.10560602	0.641486989	0.026869159	0.001168224
file00866.txt	4	986	6.71175346	0.740277481	0.030425963	0.010141988
file00331.txt	4	537	7.102936663	0.680163934	0.026070764	0.003724395
file00457.txt	4	657	7.068820338	0.623848684	0.03500761	0.01065449
file00443.txt	4	912	7.059685062	0.670614137	0.024122807	0.00877193
file00325.txt	9	1582	7.41828046	0.673242009	0.024020228	0.016434893
file01013.txt	4	1042	6.617519304	0.636153072	0.027831094	0.013435701
file00319.txt	9	1396	7.044451736	0.737995546	0.027936963	0.022206304
file01007.txt	5	787	7.083473022	0.637452575	0.031766201	0.005082592
file00494.txt	4	599	6.368473206	0.619672727	0.03672788	0.011686144
file00480.txt	4	549	6.9732459	0.658	0.034608379	0.007285974
file00245.txt	4	1018	7.024375584	0.677647059	0.050098232	0.015717092
file00523.txt	4	739	6.779792429	0.681565217	0.047361299	0.00270636
file00537.txt	3	480	6.796751034	0.611136891	0.041666667	0.008333333
file00251.txt	1	159	5.536696711	0.810363636	0.031446541	0
file01167.txt	5	904	6.998122162	0.597520468	0.033185841	0.011061947
file00279.txt	5	1018	6.757355697	0.728482972	0.050098232	0.010805501
file01173.txt	7	1482	6.966759443	0.660697837	0.016869096	0.021592443
file00286.txt	7	1067	7.034599453	0.696385069	0.034676664	0.016869728
file01198.txt	3	410	6.783414433	0.700277008	0.051219512	0.002439024
file00292.txt	4	714	7.07478774	0.578526316	0.039215686	0.007002801
file00721.txt	3	377	6.860183477	0.665365854	0.039787798	0.00530504
file00047.txt	6	1131	7.166920496	0.672994455	0.054818744	0.00530504
file00053.txt	5	636	7.230792334	0.614207836	0.031446541	0.003144654
file00735.txt	4	629	6.736356545	0.660241379	0.031796502	0.004769475
file00709.txt	4	749	6.73571936	0.682428571	0.021361816	0.016021362
file00084.txt	5	820	6.920862891	0.66383917	0.031707317	0.018292683
file00090.txt	4	732	6.673477208	0.687935578	0.047814208	0.005464481
file00906.txt	5	1491	7.071180691	0.677115118	0.030181087	0.022132797
file00912.txt	4	642	6.941620063	0.599123103	0.026479751	0.015576324
file00904.txt	5	1018	6.853755384	0.711578947	0.046168959	0.021611002
file00910.txt	3	926	6.918722514	0.59304447	0.051835853	0.006479482
file00086.txt	1	218	5.566386113	0.712307692	0.018348624	0
file00938.txt	3	460	7.16515155	0.585985401	0.019565217	0.006521739
file00092.txt	6	751	7.187760126	0.679059829	0.022636485	0.015978695
file00079.txt	5	1117	7.369423367	0.59428839	0.028648165	0.008057296
file00045.txt	6	1009	7.04403626	0.689020833	0.044598612	0.009910803
file00723.txt	5	873	6.705510123	0.639004854	0.018327606	0.006872852
